asetilsalisilik_asit,parasetamol,propyphenazone,kafein,deksketoprofen_trometamol,naproksen,naproksen_sodyum,ibuprofen,psedoefedrin_hcl,klorfeniramin_maleat,fenilefrin_hcl,dekstrometorfan_hbr,oksolamin_sitrat,dekstrometorfan,difenhidramin_hcl,efedrin_hcl,karbamazepin,paroksetin,opipramol,tianeptin,sitalopram_hidrobromur,sertralin,mirtazapin,amitriptilin_hcl,fluoksetin_hcl,maprotilin_hcl,amlodipin,metoprolol_suksinat,valsartan,hidroklorotiyazid,lacidipin,diltiazem_hcl,losartan_potasyum,metildopa,metformin_hcl,akarboz,glimepirid,rosiglitazon,pioglitazon_hcl,gliklazid,glibenklamid,repaglinid,diflukortolon_valerat,izokonazol,terbinafin_hcl,tiyokonazol,sikloproxolamine_citrate,betametazon_valerat,kliokinol,heksamidin,klotrimazol,vitamin_b1,vitamin_b6,vitamin_b12,siyanokobalamin,tiamin_hcl,ribofilavin_sodyum_fosfat,pridoksin_hcl,pregabalin,pp_vitamini,folik_asit,askorbik_asit,ferroglikokol_sulfat,ranitidin,domperidon,hiyosin_n_butilbromur,rabeprazol,hidrotalsit,lansoprazol,sodyum_aljinat,potasyum_bikarbonat,dekspantenol,simetikon,kalsiyum_karbonat,magnezyum_karbonat,hastalik_tahmin
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agri_kesici
